Type,Method,ComponentArrangement,Managed,Managed_ArcheType,Native,Native_ArcheType,Native_ArcheType_Continous
EcsContext_EntityComponentLifeTest,AddComponent,Shared_x2,185.459,680.859,92.978,781.211,966.160
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x1_Shared_x1,184.658,548.543,93.836,663.213,834.624
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x1_Shared_x2,282.962,1122.627,136.531,1162.404,1526.643
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x2_Shared_x1,284.538,1000.778,135.582,1029.959,1391.830
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x2_Shared_x2,372.037,1700.567,177.643,1580.609,2130.487
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x1,23.438,93.906,52.823,62.058,70.766
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x2,26.467,129.179,58.187,74.856,84.370
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Shared_x1,23.290,93.551,53.844,61.672,69.388
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Shared_x2,26.522,128.136,56.490,75.120,84.836
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x1_Shared_x1,26.595,127.708,57.554,75.063,84.846
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x1_Shared_x2,27.816,158.207,56.027,88.605,98.611
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x2_Shared_x1,28.021,157.387,56.066,89.157,100.292
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x2_Shared_x2,30.023,191.145,59.379,103.111,111.997
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x1,27.419,146.479,53.850,83.153,92.007
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x2,54.413,518.896,91.950,346.848,517.186
EcsContext_EntityComponentLifeTest,RemoveComponent,Shared_x1,27.629,147.835,53.803,82.893,94.444
EcsContext_EntityComponentLifeTest,RemoveComponent,Shared_x2,54.298,616.054,91.215,423.119,595.478
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x1_Shared_x1,54.112,552.931,91.392,427.070,603.441
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x1_Shared_x2,79.591,1140.703,130.717,836.829,1214.069
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x2_Shared_x1,80.462,1052.464,131.430,835.269,1225.319
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x2_Shared_x2,106.608,1702.058,171.427,1314.011,1842.758
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x1,81.530,97.563,47.023,75.369,77.390
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x2,190.179,202.724,82.052,154.554,158.347
EcsContext_EntityComponentLifeTest,ReplaceComponent,Shared_x1,81.400,353.822,45.539,384.016,403.079
EcsContext_EntityComponentLifeTest,ReplaceComponent,Shared_x2,190.571,843.714,80.364,899.318,1086.420
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x1_Shared_x1,194.545,513.204,81.869,507.705,530.341
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x1_Shared_x2,343.546,1069.324,119.635,1102.859,1319.013
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x2_Shared_x1,334.886,687.604,119.666,657.266,685.806
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x2_Shared_x2,390.806,1330.348,156.569,1254.168,1502.347
EcsContext_EntityGetTest,GetEntities,?,3.783,3.783,3.593,3.551,3.545
EcsContext_EntityGetTest,HasEntity,?,5.906,5.898,5.622,5.580,5.593
EcsContext_EntityLifeTest,CreateEntites,?,244.605,122.140,91.751,122.489,126.666
EcsContext_EntityLifeTest,CreateEntites_Reused,?,20.742,22.209,10.924,17.505,20.572
EcsContext_EntityLifeTest,CreateEntity,?,226.119,93.159,98.311,144.626,140.939
EcsContext_EntityLifeTest,CreateEntity_Reused,?,25.761,29.582,21.193,36.616,41.273
EcsContext_EntityLifeTest,DestroyEntities,?,25.359,19.894,57.991,17.833,19.565
EcsContext_EntityLifeTest,DestroyEntity,?,25.872,29.339,62.559,27.531,30.414
